pathway,train_roc_auc_score,validation_roc_auc_score,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,0.823799796,0.450314465,0.858733401,0.457861635
GO_COBALAMIN_METABOLIC_PROCESS,0.699284985,0.478616352,0.682941777,0.471069182
GO_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,0.631052094,0.411949686,0.631052094,0.411949686
GO_MUSCLE_CONTRACTION,0.905617978,0.55408805,0.943820225,0.464150943
GO_TELOMERE_LOCALIZATION,0.625127681,0.54591195,0.625331971,0.54591195
GO_TRANSITION_METAL_ION_HOMEOSTASIS,0.81092952,0.549056604,0.808886619,0.52327044
GO_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION,0.796016343,0.590566038,0.789785495,0.431446541
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.913074566,0.568553459,0.973033708,0.489308176
GO_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS,0.557303371,0.581132075,0.557303371,0.519496855
GO_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.769356486,0.537106918,0.776200204,0.520125786
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_VIRUS,0.680898876,0.514465409,0.68845761,0.563522013
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION,0.770071502,0.558490566,0.77711951,0.560377358
GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,0.841062308,0.606289308,0.906741573,0.595597484
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION,0.640653728,0.567295597,0.632482125,0.564779874
GO_RESPONSE_TO_BACTERIUM,0.921348315,0.613836478,0.969560776,0.655974843
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION,0.713789581,0.51572327,0.706537283,0.467924528
GO_VASOCONSTRICTION,0.742185904,0.540251572,0.771910112,0.577358491
GO_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,0.507048008,0.475471698,0.515423902,0.457861635
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,0.794177732,0.498113208,0.867926456,0.491823899
GO_CALCIUM_ION_IMPORT,0.86618999,0.532075472,0.886618999,0.561006289
GO_CELL_MATURATION,0.875791624,0.572955975,0.900510725,0.575471698
GO_BEHAVIORAL_RESPONSE_TO_PAIN,0.692032686,0.630188679,0.666496425,0.640251572
GO_REGULATION_OF_SECRETION,0.886006129,0.574213836,0.972216547,0.440880503
GO_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,0.733912155,0.535849057,0.738815117,0.491823899
GO_MODULATION_OF_TRANSCRIPTION_IN_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.653319714,0.520754717,0.652706844,0.544654088
GO_APOPTOTIC_SIGNALING_PATHWAY,0.817466803,0.542138365,0.925025536,0.47672956
GO_NEURAL_NUCLEUS_DEVELOPMENT,0.798467824,0.702515723,0.815015322,0.589308176
GO_LYMPHOCYTE_MEDIATED_IMMUNITY,0.848416752,0.618238994,0.88947906,0.456603774
GO_REGULATION_OF_HEART_MORPHOGENESIS,0.702042901,0.580503145,0.715832482,0.581761006
GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS,0.665372829,0.462264151,0.665270684,0.431446541
GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY,0.815321757,0.539622642,0.848518897,0.602515723
GO_HIPPOCAMPUS_DEVELOPMENT,0.793871297,0.633333333,0.863534219,0.563522013
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,0.803881512,0.589308176,0.746475996,0.533962264
GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,0.652911134,0.427672956,0.630439224,0.39245283
GO_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS,0.720224719,0.547169811,0.696118488,0.39245283
GO_POSITIVE_REGULATION_OF_TELOMERE_CAPPING,0.615423902,0.509433962,0.615015322,0.511949686
GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT,0.736057201,0.58427673,0.743615935,0.551572327
GO_REGULATION_OF_CHROMOSOME_SEGREGATION,0.8,0.535849057,0.838406537,0.63836478
GO_POSITIVE_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY,0.571399387,0.576100629,0.571399387,0.577358491
GO_PONS_DEVELOPMENT,0.586006129,0.542767296,0.587640449,0.488679245
GO_PROTEIN_K11_LINKED_UBIQUITINATION,0.615832482,0.491823899,0.615015322,0.46918239
GO_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE,0.73258427,0.556603774,0.707354443,0.494968553
GO_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS,0.614300306,0.440880503,0.619611849,0.472327044
GO_RESPONSE_TO_INACTIVITY,0.686108274,0.594968553,0.616547497,0.516352201
GO_SPHINGOLIPID_METABOLIC_PROCESS,0.852706844,0.620125786,0.906230848,0.499371069
GO_RESPONSE_TO_PAIN,0.793667007,0.637735849,0.795812053,0.582389937
GO_PROTEIN_ACETYLATION,0.818488253,0.636477987,0.876506639,0.576100629
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.561082737,0.498113208,0.561082737,0.498113208
GO_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,0.868028601,0.586163522,0.936772217,0.441509434
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT,0.642900919,0.491194969,0.640245148,0.525157233
GO_CELLULAR_HORMONE_METABOLIC_PROCESS,0.821961185,0.581761006,0.899080695,0.499371069
GO_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.652706844,0.570440252,0.652706844,0.506289308
GO_BONE_REMODELING,0.764964249,0.631446541,0.798672114,0.649685535
GO_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS,0.703983657,0.517610063,0.701532176,0.538993711
GO_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX,0.591113381,0.475471698,0.591113381,0.474213836
GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY,0.680388151,0.606918239,0.688764045,0.497484277
GO_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,0.717773238,0.491194969,0.718590398,0.437106918
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,0.709397344,0.605660377,0.726966292,0.422012579
GO_REGULATION_OF_PROTEIN_SECRETION,0.88988764,0.552201258,0.957303371,0.504402516
GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,0.872420838,0.563522013,0.930337079,0.540251572
GO_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,0.653932584,0.589308176,0.653932584,0.533333333
GO_RESPONSE_TO_INSULIN,0.847599591,0.567295597,0.91195097,0.579245283
GO_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY,0.651991828,0.540251572,0.645863126,0.496226415
GO_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS,0.786312564,0.54591195,0.78968335,0.495597484
GO_POSITIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,0.740347293,0.566666667,0.752400409,0.532704403
GO_REGULATION_OF_CATABOLIC_PROCESS,0.853319714,0.576100629,0.948723187,0.567295597
GO_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,0.81072523,0.482389937,0.879366701,0.485534591
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,0.840347293,0.555974843,0.871603677,0.564150943
GO_NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,0.733912155,0.511949686,0.731767109,0.562264151
GO_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING,0.575485189,0.481761006,0.575689479,0.466666667
GO_B_CELL_ACTIVATION,0.855158325,0.511949686,0.902655771,0.476100629
GO_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS,0.624208376,0.460377358,0.625025536,0.455345912
GO_REGULATION_OF_NEURON_DIFFERENTIATION,0.935546476,0.527044025,0.97711951,0.566037736
GO_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION,0.770071502,0.617610063,0.738610827,0.63081761
GO_REGULATION_OF_FIBRINOLYSIS,0.699080695,0.474842767,0.692339122,0.478616352
GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,0.756996936,0.588679245,0.797242084,0.564150943
GO_PROTEIN_POLYUBIQUITINATION,0.84351379,0.573584906,0.886210419,0.620754717
GO_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION,0.79938713,0.436477987,0.846475996,0.46918239
GO_REGULATION_OF_MRNA_3_END_PROCESSING,0.672625128,0.462893082,0.672420838,0.471069182
GO_REGULATION_OF_PEPTIDE_TRANSPORT,0.844433095,0.629559748,0.926251277,0.618867925
GO_POSITIVE_REGULATION_OF_ION_TRANSPORT,0.897854954,0.571069182,0.942288049,0.468553459
GO_ATP_BIOSYNTHETIC_PROCESS,0.612359551,0.443396226,0.612359551,0.443396226
GO_CANONICAL_WNT_SIGNALING_PATHWAY,0.82308478,0.536477987,0.854954035,0.540880503
GO_ACUTE_INFLAMMATORY_RESPONSE,0.786006129,0.547798742,0.859448417,0.444654088
GO_NUCLEOBASE_METABOLIC_PROCESS,0.682022472,0.439622642,0.738100102,0.464150943
GO_HUMORAL_IMMUNE_RESPONSE,0.871092952,0.677987421,0.909601634,0.535220126
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION,0.668947906,0.571698113,0.67671093,0.528930818
GO_PHAGOSOME_MATURATION,0.644024515,0.660377358,0.646169561,0.509433962
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA,0.576813075,0.575471698,0.576813075,0.51509434
GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT,0.598467824,0.481761006,0.598467824,0.481761006
GO_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS,0.656894791,0.495597484,0.655975485,0.559119497
GO_CHROMATIN_MODIFICATION,0.888355465,0.618867925,0.964862104,0.614465409
GO_MYELOID_LEUKOCYTE_ACTIVATION,0.830439224,0.522012579,0.861491318,0.432704403
GO_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,0.685495403,0.626415094,0.647906027,0.485534591
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,0.86762002,0.595597484,0.927272727,0.562264151
GO_POSITIVE_REGULATION_OF_CELL_DIVISION,0.853115424,0.533333333,0.909295199,0.540880503
GO_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.611644535,0.587421384,0.604902962,0.573584906
GO_PIGMENT_BIOSYNTHETIC_PROCESS,0.673953013,0.386792453,0.712972421,0.411949686
GO_ERBB_SIGNALING_PATHWAY,0.820939734,0.598113208,0.848825332,0.628930818
GO_EMBRYONIC_ORGAN_MORPHOGENESIS,0.908784474,0.618867925,0.959550562,0.591823899
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT,0.88784474,0.632075472,0.952093973,0.605660377
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT,0.862921348,0.605031447,0.884269663,0.573584906
GO_REGULATION_OF_SPINDLE_ORGANIZATION,0.62328907,0.459119497,0.62328907,0.46163522
GO_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS,0.878243105,0.504402516,0.93421859,0.468553459
GO_PHOSPHOLIPID_SCRAMBLING,0.705617978,0.455345912,0.6886619,0.455345912
GO_GLIOGENESIS,0.845965271,0.642767296,0.909601634,0.687421384
GO_PEPTIDYL_THREONINE_MODIFICATION,0.769867211,0.464779874,0.78804903,0.367295597
GO_MITOCHONDRIAL_FISSION,0.550459653,0.457861635,0.550459653,0.457861635
GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_,0.541368744,0.493081761,0.541368744,0.493081761
GO_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS,0.640245148,0.469811321,0.611644535,0.447169811
GO_POLYOL_TRANSPORT,0.681103166,0.520754717,0.665372829,0.438993711
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,0.745045965,0.485534591,0.74371808,0.41572327
GO_ANTIGEN_PROCESSING_AND_PRESENTATION,0.846782431,0.558490566,0.893258427,0.452830189
GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS,0.775178754,0.550943396,0.84514811,0.499371069
GO_TELENCEPHALON_GLIAL_CELL_MIGRATION,0.722982635,0.503773585,0.751787538,0.466037736
GO_MAINTENANCE_OF_LOCATION,0.837282942,0.61509434,0.909601634,0.549056604
GO_NEPHRON_EPITHELIUM_DEVELOPMENT,0.817773238,0.612578616,0.887742594,0.586792453
GO_NEGATIVE_REGULATION_OF_RECEPTOR_ACTIVITY,0.670377937,0.606289308,0.668743616,0.616352201
GO_KERATINOCYTE_DIFFERENTIATION,0.844228805,0.566037736,0.892543412,0.559748428
GO_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS,0.675280899,0.52327044,0.674055158,0.524528302
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,0.803064351,0.557232704,0.831052094,0.425157233
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION,0.803983657,0.464150943,0.771092952,0.447798742
GO_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION,0.642185904,0.589308176,0.619509704,0.595597484
GO_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,0.660367722,0.613836478,0.650970378,0.566037736
GO_CELL_REDOX_HOMEOSTASIS,0.784473953,0.469811321,0.804902962,0.337106918
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,0.775791624,0.474842767,0.793564862,0.448427673
GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION,0.607967314,0.547798742,0.59897855,0.468553459
GO_POSITIVE_REGULATION_OF_PROTEIN_SECRETION,0.858733401,0.528301887,0.916036772,0.441509434
GO_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,0.824821246,0.616981132,0.905311542,0.405660377
GO_REGULATION_OF_STEROID_HORMONE_SECRETION,0.655566905,0.51572327,0.663738509,0.516981132
GO_RESPONSE_TO_KETONE,0.861082737,0.524528302,0.907558733,0.450314465
GO_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,0.742185904,0.612578616,0.748212462,0.698742138
GO_LYMPHANGIOGENESIS,0.675485189,0.496855346,0.674259448,0.493081761
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,0.873237998,0.622641509,0.872420838,0.636477987
GO_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.689581205,0.486163522,0.679775281,0.496226415
GO_SENSORY_PERCEPTION_OF_TASTE,0.810623085,0.586792453,0.778447395,0.522641509
GO_FEAR_RESPONSE,0.761287028,0.522641509,0.73442288,0.511949686
GO_REGULATION_OF_CLATHRIN_MEDIATED_ENDOCYTOSIS,0.693667007,0.539622642,0.684473953,0.576100629
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,0.848621042,0.667924528,0.92226762,0.321383648
GO_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT,0.637385087,0.486792453,0.637589377,0.494339623
GO_NEURON_NEURON_SYNAPTIC_TRANSMISSION,0.87671093,0.656603774,0.891215526,0.572327044
GO_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.576506639,0.53836478,0.585903984,0.555974843
GO_CILIUM_MORPHOGENESIS,0.892849847,0.527672956,0.924106231,0.452830189
GO_ENERGY_COUPLED_PROTON_TRANSPORT_DOWN_ELECTROCHEMICAL_GRADIENT,0.576098059,0.510691824,0.57711951,0.510691824
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,0.72145046,0.519496855,0.731460674,0.469811321
GO_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.777425945,0.620125786,0.764964249,0.660377358
GO_PROTEIN_LOCALIZATION_TO_VACUOLE,0.768743616,0.488050314,0.768539326,0.462893082
GO_METANEPHRIC_RENAL_VESICLE_MORPHOGENESIS,0.662410623,0.456603774,0.647088866,0.510062893
GO_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,0.679366701,0.581761006,0.657099081,0.533962264
GO_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE,0.708375894,0.567924528,0.719407559,0.578616352
GO_REGULATION_OF_ORGAN_GROWTH,0.789989785,0.629559748,0.870275792,0.662264151
GO_REGULATION_OF_SYNAPSE_ASSEMBLY,0.813585291,0.582389937,0.860572012,0.477358491
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION,0.630847804,0.509433962,0.62328907,0.449056604
GO_POSITIVE_REGULATION_OF_CELL_GROWTH,0.896833504,0.545283019,0.93299285,0.455345912
GO_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,0.707354443,0.537106918,0.692339122,0.533333333
GO_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT,0.807048008,0.610691824,0.828294178,0.575471698
GO_PROTEIN_O_LINKED_MANNOSYLATION,0.564147089,0.58490566,0.573748723,0.58490566
GO_GUANOSINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.587640449,0.452830189,0.581103166,0.45408805
GO_BONE_MINERALIZATION,0.723493361,0.558490566,0.731256384,0.542138365
GO_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,0.843105209,0.673584906,0.919305414,0.637735849
GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE,0.931358529,0.625157233,0.983861083,0.585534591
GO_OVULATION_CYCLE_PROCESS,0.782941777,0.57672956,0.85607763,0.527044025
GO_POSITIVE_REGULATION_OF_CELL_ADHESION,0.879264556,0.672327044,0.953830439,0.725786164
GO_PROTEIN_LOCALIZATION_TO_CHROMATIN,0.587334014,0.574842767,0.587334014,0.574842767
GO_PROTEIN_O_LINKED_FUCOSYLATION,0.677630235,0.476100629,0.677834525,0.476100629
GO_CEREBRAL_CORTEX_DEVELOPMENT,0.873340143,0.644025157,0.930439224,0.528930818
GO_ENDOCRINE_PANCREAS_DEVELOPMENT,0.73258427,0.640880503,0.784473953,0.577358491
GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,0.796527068,0.427672956,0.816751788,0.471698113
GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS,0.752502554,0.501257862,0.779060266,0.547798742
GO_ORGANIC_ACID_METABOLIC_PROCESS,0.904187947,0.548427673,0.981307457,0.460377358
GO_REGULATION_OF_EXCRETION,0.790806946,0.57672956,0.782941777,0.579245283
GO_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS,0.719611849,0.518867925,0.724208376,0.496855346
GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING,0.828804903,0.608805031,0.849336057,0.544025157
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS,0.78988764,0.555345912,0.813993871,0.649685535
GO_REGULATION_OF_ENDOCRINE_PROCESS,0.75566905,0.516981132,0.778243105,0.520754717
GO_RESPONSE_TO_INSECTICIDE,0.58886619,0.516981132,0.58886619,0.516981132
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING,0.582431052,0.533962264,0.582839632,0.48490566
GO_QUATERNARY_AMMONIUM_GROUP_TRANSPORT,0.662614913,0.503773585,0.662410623,0.461006289
GO_EXIT_FROM_MITOSIS,0.595914198,0.516981132,0.596322778,0.519496855
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM,0.857201226,0.537106918,0.910010215,0.493710692
GO_RESPONSE_TO_GROWTH_HORMONE,0.746884576,0.540880503,0.761389173,0.513836478
GO_PROTEIN_DEMANNOSYLATION,0.642798774,0.563522013,0.643820225,0.579874214
GO_G1_DNA_DAMAGE_CHECKPOINT,0.782431052,0.413207547,0.801430031,0.462893082
GO_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,0.624923391,0.455345912,0.600715015,0.474213836
GO_RESPONSE_TO_OXYGEN_LEVELS,0.858324821,0.658490566,0.953932584,0.536477987
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.887538304,0.674842767,0.980286006,0.58427673
GO_PHOTOTRANSDUCTION_VISIBLE_LIGHT,0.737282942,0.649056604,0.725025536,0.690566038
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,0.850868233,0.563522013,0.870275792,0.522641509
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION,0.657507661,0.564779874,0.637895812,0.470440252
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.764044944,0.54591195,0.78988764,0.398113208
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.794279877,0.543396226,0.83340143,0.528301887
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,0.750561798,0.572955975,0.792441267,0.455345912
GO_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,0.778243105,0.508805031,0.808375894,0.512578616
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,0.857507661,0.666037736,0.895812053,0.514465409
GO_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,0.586312564,0.666666667,0.586312564,0.6
GO_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.74473953,0.498742138,0.815321757,0.498742138
GO_OXIDATIVE_PHOSPHORYLATION,0.592134831,0.476100629,0.594586313,0.510062893
GO_APOPTOTIC_NUCLEAR_CHANGES,0.685597549,0.509433962,0.677834525,0.508805031
GO_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION,0.649438202,0.502515723,0.652093973,0.501257862
GO_CELLULAR_AMIDE_METABOLIC_PROCESS,0.885188968,0.633333333,0.940755873,0.416352201
GO_PARENTAL_BEHAVIOR,0.649131767,0.528301887,0.648927477,0.533333333
GO_REGULATION_OF_DNA_BINDING,0.768743616,0.547169811,0.840551583,0.443396226
GO_IMMUNOGLOBULIN_PRODUCTION,0.734729316,0.548427673,0.750459653,0.555974843
GO_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION,0.665679265,0.481761006,0.655566905,0.483018868
GO_TISSUE_MIGRATION,0.829213483,0.436477987,0.878447395,0.402515723
GO_ONE_CARBON_COMPOUND_TRANSPORT,0.662104188,0.533333333,0.66762002,0.464150943
GO_LEFT_RIGHT_AXIS_SPECIFICATION,0.636874362,0.532075472,0.636465781,0.537106918
GO_RESPONSE_TO_ISCHEMIA,0.708784474,0.545283019,0.688968335,0.562893082
GO_ENSHEATHMENT_OF_NEURONS,0.830337079,0.523899371,0.867313585,0.500628931
GO_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.577630235,0.51572327,0.577630235,0.51572327
GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,0.928498468,0.585534591,0.987742594,0.618238994
GO_CHROMATIN_DISASSEMBLY,0.64494382,0.479245283,0.636363636,0.477987421
GO_PLATELET_MORPHOGENESIS,0.625536261,0.475471698,0.625331971,0.525786164
GO_DENDRITE_MORPHOGENESIS,0.830643514,0.58427673,0.875076609,0.508176101
GO_RESPONSE_TO_AMPHETAMINE,0.744024515,0.505660377,0.747497446,0.525786164
GO_RESPONSE_TO_CAMP,0.881001021,0.586163522,0.909499489,0.613207547
GO_MYOBLAST_DIFFERENTIATION,0.772318693,0.575471698,0.798467824,0.577987421
GO_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION,0.640653728,0.582389937,0.670684372,0.509433962
GO_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,0.586925434,0.41572327,0.586925434,0.425157233
GO_NEGATIVE_REGULATION_OF_HEMOPOIESIS,0.863227783,0.603144654,0.90061287,0.468553459
GO_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,0.840245148,0.542138365,0.892747702,0.479245283
GO_INNATE_IMMUNE_RESPONSE_IN_MUCOSA,0.569662921,0.489937107,0.569867211,0.488679245
GO_REGULATION_OF_CHEMOKINE_SECRETION,0.658120531,0.574842767,0.651991828,0.532075472
GO_RESPONSE_TO_STEROL,0.714606742,0.391823899,0.709601634,0.416352201
GO_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.663942799,0.579874214,0.648008172,0.596226415
GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,0.653115424,0.519496855,0.68845761,0.536477987
GO_TRABECULA_MORPHOGENESIS,0.792951992,0.68427673,0.787640449,0.668553459
GO_PHOTORECEPTOR_CELL_MAINTENANCE,0.764657814,0.601257862,0.802145046,0.472327044
GO_REGULATION_OF_CALCIUM_ION_IMPORT,0.854545455,0.499371069,0.898161389,0.481761006
GO_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS,0.752911134,0.457232704,0.780286006,0.406289308
GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT,0.57773238,0.459748428,0.57773238,0.459748428
GO_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS,0.753013279,0.533333333,0.737793667,0.555345912
GO_REGULATION_OF_METAL_ION_TRANSPORT,0.89938713,0.656603774,0.950153218,0.544025157
GO_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,0.637589377,0.603144654,0.627783453,0.542767296
GO_MODIFICATION_BY_SYMBIONT_OF_HOST_MORPHOLOGY_OR_PHYSIOLOGY,0.746067416,0.586163522,0.786210419,0.530188679
GO_SISTER_CHROMATID_SEGREGATION,0.838815117,0.542138365,0.871501532,0.511949686
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,0.727885598,0.459748428,0.718079673,0.404402516
GO_PHASIC_SMOOTH_MUSCLE_CONTRACTION,0.639530133,0.686792453,0.647293156,0.699371069
GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM,0.63299285,0.577987421,0.63340143,0.579245283
GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,0.728804903,0.568553459,0.75587334,0.514465409
GO_ORGANELLE_MEMBRANE_FUSION,0.803677222,0.371069182,0.808682329,0.355974843
GO_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.880388151,0.616352201,0.928498468,0.552201258
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,0.678243105,0.572955975,0.660265577,0.625786164
GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS,0.88804903,0.564150943,0.9546476,0.497484277
